Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
PG,Australian Catholic University,Perth,Graduate Diploma in Commerce (Chartered Accounting),Business & Commerce & Finance & Accounting,,,AUD,year,1,year,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-commerce-chartered-accounting,English,A,"The Graduate Diploma in Commerce (Chartered Accounting) provides training in the technical aspects of the preparation of accounting data, develops your skills in the application of accounting information to solve problems and make decisions, and develops the important professional skills such as communication, working in teams and critical thinking.",Accountant,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Professional Engineering Preliminary,Engineering,,,AUD,year,1.5,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-professional-engineering-preliminary,English,A,This course is designed to enable you to move into the professionally accredited Master of Professional Engineering on completion if you have a bachelor's degree in a non-engineering area of study (e.g. a Bachelor of Science).,Academic / Chemical Engineer / Civil Engineer / Electrical Engineer,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Graduate Diploma in Insurance Law,Business & Commerce & Finance & Accounting,,,AUD,year,18,months,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-insurance-law,English,A,This course is available to graduates with a recognised law degree who wish to pursue advanced or further study in law.,Insurance Broker / Lawyer / Policy and Planning Manager / Actuary,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Graduate Diploma in Asian Studies,Humanities and Social Science,,,AUD,year,1,year,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-asian-studies,English,A,"This course will give you the skills and knowledge crucial to understanding and engaging with the Asian region. With flexible study options, including part-time and evening courses, you can enhance your career prospects by developing an in-depth understanding of the region, with the option of specialising in politics or business.",Teacher of English to Speakers of Other Languages / Business Administration Manager / Corporate General Manager / Corporate Services Manager,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Human Resources and Employment Relations,Tourism and Hotel Management,,,AUD,year,1.5,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-human-resources-and-employment-relations,English,A,"Postgraduate study in Human Resources and Employment Relations will provide you with a thorough theoretical and practical grounding in the management of people and employment in Australia and overseas.
This course is suitable for professionals working in the human resources and employment relations area who wish to extend and deepen their knowledge, and also for those wishing to move into the field.","Academic / Contract, Program and Project Administrators / Customer Service Manager / Human Resource Professional",Australia,no,yes,no,yes,no,
DPG,Australian Catholic University,Perth,Doctor of Clinical Dentistry,Medical and Nursing,,,AUD,year,3,years,yes,no,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/doctor-of-clinical-dentistry,English,A,"Programs are offered in the following specialist areas (Dento-maxillofacial Radiology, Endodontics, Oral Medicine, Orthodontics, Periodontics, Prosthodontics and Paediatric Dentistry) and taught by experienced specialists in their field, subject to availability of places each year in a beginning of year or mid-year intake. The Oral Pathology Program will be offered subject to accreditation by the Australian Dental Council. On completion of the DClinDent program you'll be eligible for registration as a dental specialist with appropriate registration bodies in Australia and New Zealand. Our clinics and laboratories are equipped with state-of-the-art digital technologies including CBCT, CADCAM and 3dMD in addition to rotary endodontics and surgical microscopes and the latest research infrastructure.
 
 
",Dentist,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Graduate Diploma in Infectious Diseases,Medical and Nursing,,,AUD,year,1,year,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-infectious-diseases,English,A,"This course provides advanced training in the field of infectious diseases including topics in Medical Microbiology, Tropical Infectious Diseases, and Public and Environmental Health Microbiology.",Microbiologist / Laboratory Manager / Medical Scientist,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Graduate Diploma in Mental Health and Wellbeing in Education,English,,,AUD,year,1,year,no,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/graduate-diploma-in-mental-health-and-wellbeing-in-education,English,A,This course equips education professionals to address growing concerns about child and adolescent mental health.,Early Childhood (Pre-primary School) Educator / Primary School Teacher / Secondary School Teacher / School Principal,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Public Policy,Law,,,AUD,year,2,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-public-policy,English,A,"A successful government must design and implement policies that will further the economic, social and legal interests of its citizens. Students who study public policy are therefore driven to serve the public interest. They work in all levels of government, in the not-for-profit sector, in consulting firms and in international organisations. They can be social entrepreneurs, policy analysts, consultants to government or hold public office.",Analyst / Business Administration Manager / Chief Executive / Chief Information Officer,Australia,no,yes,no,yes,no,
PG,Australian Catholic University,Perth,Master of Applied Finance,Business & Commerce & Finance & Accounting,,,AUD,year,1.5,years,yes,yes,IELTS,,,6.5,,,https://www.uwa.edu.au/study/courses/master-of-applied-finance,English,A,"Covering a wide range of applied finance topics, this specialised master’s course leads to careers in corporate banking and finance, stock market trading, insurance, investment management and other areas of applied finance.",Analyst / Auditor / Corporate Treasurer / Credit and Loans Officer,Australia,no,yes,no,yes,no,
